availability, basedUpon, checkSum, fileName, fileSize, isForced, name, requires, system, type, url, version
forDeliveringThroughApi, , 8104E093EB68AA6EADEAD904A50AAB51, BMW_ISPI_ISTA-BLP_4.12.11.istapackage, 1050081330, False, BMW_ISPI_ISTA-BLP_4.12.11, , ISTA SDP, 2, http://127.0.0.1, 4.12.11
forDeliveringThroughApi, , A0BD97932650016790941DEA7A86785A, BMW_ISPI_ISTA-DATA_en-GB_4.12.12.istapackage, 1523008287, False, BMW_ISPI_ISTA-DATA_en-GB_4.12.12, , ISTA NF, 1, http://127.0.0.1, 4.12.12
forDeliveringThroughApi, , C0C15801991069A17B5B97D44B92CACF, BMW_ISPI_ISTA-DATA_de-DE_4.12.12.istapackage, 1511908928, False, BMW_ISPI_ISTA-DATA_de-DE_4.12.12, , ISTA NF, 1, http://127.0.0.1, 4.12.12
forDeliveringThroughApi, , BFDFBD37004F4AEF83D585633C29FBD2, BMW_ISPI_ISTA-DATA_GLOBAL_4.12.12.istapackage, 14701643294, False, BMW_ISPI_ISTA-DATA_GLOBAL_4.12.12, , ISTA NF, 1, http://127.0.0.1, 4.12.12
forDeliveringThroughApi, , F13079F3D94E69AF35CD4FFBCC48FFB7, BMW_ISPI_ISTA-DATA_DELTA_de-DE_4.11.30.istapackage, 1516847, False, BMW_ISPI_ISTA-DATA_DELTA_de-DE_4.11.30, , ISTA NF, 1, http://127.0.0.1, 4.11.30
forDeliveringThroughApi, , CC621EB1315FFACE4F56139382EFDCFF, BMW_ISPI_ISTA_DELTA-SDP_4.12.10.istapackage, 5234662676, False, BMW_ISPI_ISTA_DELTA-SDP_4.12.10, , ISTA SDP, 1, http://127.0.0.1, 4.12.10
forDeliveringThroughApi, , 46179E2DC5C59C53D96904D9099CC4F9, BMW_ISPI_ISTA_DELTA-SDP_4.11.30.istapackage, 471893406, False, BMW_ISPI_ISTA_DELTA-SDP_4.11.30, , ISTA SDP, 1, http://127.0.0.1, 4.11.30
forDeliveringThroughApi, , 4B0E1EF59A72EE1B4166BD6E6E32D81F, BMW_ISPI_ISTA-BLP_4.11.30.istapackage, 1025083667, False, BMW_ISPI_ISTA-BLP_4.11.30, , ISTA SDP, 2, http://127.0.0.1, 4.11.30
forDeliveringThroughApi, , 319194ED1AE0953F395AF0C24E44B3F0, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.11.30.istapackage, 1473161, False, BMW_ISPI_ISTA-DATA_DELTA_en-GB_4.11.30, , ISTA NF, 1, http://127.0.0.1, 4.11.30
forDeliveringThroughApi, , B57E8AF6F4D0DCF5D8C4F4FC1273AD6A, BMW_ISPI_ISTA-DATA_DELTA_4.11.30.istapackage, 193366620, False, BMW_ISPI_ISTA-DATA_DELTA_4.11.30, , ISTA NF, 1, http://127.0.0.1, 4.11.30
forDeliveringThroughApi, , 26272DAF12CB9760FFEC34F71470190B, BMW_ISPI_iLean_ISPI_Admin_Client_6.0.9.226.msi, 7929856, False, ISPI Admin Client, , Admin Client, 1, http://127.0.0.1, 6.0.9.226
